X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"17936",2019/02/20 00:00:00,2019/02/21 00:00:00+00,"36",FR,FRA,France,Occitanie,Midi-Pyrénées,Hautes-Pyrénées,Gazost,modis/sentinel,22.8571428570776,0,0,0,77.1428571426367,0,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"17959",2019/02/28 00:00:00,2019/02/28 00:00:00+00,"78",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Estérençuby,modis/sentinel,23.376623376593,0,0,0,76.6233766232771,0,0,0,0,8.44219496616074,"0",2022/03/02 11:51:40.501,EU,EU
,,"17975",2019/01/19 00:00:00,2019/01/19 00:00:00+00,"41",FR,FRA,France,Occitanie,Languedoc-Roussillon,Lozère,Prévenchères,modis/sentinel,0,9.75609756095181,0,0,75.6097560973766,14.6341463414277,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"17978",2019/02/22 00:00:00,2019/02/23 00:00:00+00,"373",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Sarrance,modis/sentinel,1.87667560321665,0,0,0,96.5147453082851,0,1.60857908847142,0,0,100,"0",2022/03/02 11:51:40.501,EU,EU
,,"17984",2019/02/17 00:00:00,2019/02/17 00:00:00+00,"26",FR,FRA,France,Occitanie,Midi-Pyrénées,Aveyron,Saint Geniez d'Olt et d'Aubrac,modis/sentinel,26.9230769229734,0,0,0,73.076923076642,0,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"17988",2019/02/19 00:00:00,2019/02/19 00:00:00+00,"42",FR,FRA,France,Occitanie,Midi-Pyrénées,Hautes-Pyrénées,Asque,modis/sentinel,47.7272727271643,0,0,0,52.2727272726085,0,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"18004",2019/03/27 00:00:00,2019/03/27 00:00:00+00,"30",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Saint-Étienne-de-Baïgorry,modis/sentinel,21.2121212120569,0,0,0,78.78787878764,0,0,0,0,7.07235254784886,"0",2022/03/02 11:51:40.501,EU,EU
,,"18017",2019/01/01 00:00:00,2019/01/04 00:00:00+00,"134",FR,FRA,France,Corse,Corse,Corse-du-Sud,Palneca,modis/sentinel,27.4074074073871,0,0,0,72.5925925925388,0,0,0,0,6.72286511506816,"0",2022/03/02 11:51:40.501,EU,EU
,,"18023",2019/03/22 00:00:00,2019/03/22 00:00:00+00,"56",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Lées-Athas,modis/sentinel,3.50877192981841,1.7543859649092,0,0,94.736842105097,0,0,0,0,44.042658863247,"0",2022/03/02 11:51:40.501,EU,EU
,,"18024",2019/02/14 00:00:00,2019/02/14 00:00:00+00,"209",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Haux,modis/sentinel,36.4928909952434,0,0,0,63.5071090047092,0,0,0,0,1.42988227158449,"0",2022/03/02 11:51:40.501,EU,EU
,,"18051",2019/07/25 00:00:00,2019/07/25 00:00:00+00,"32",FR,FRA,France,Auvergne-Rhône-Alpes,Rhône-Alpes,Ardèche,Vallon-Pont-d'Arc,modis/sentinel,21.8749999999316,0,0,0,0,78.1249999997559,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"18058",2019/02/21 00:00:00,2019/02/21 00:00:00+00,"75",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Isturits,modis/sentinel,0,0,0,0,80.5555555554437,0,19.4444444444174,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"18060",2019/02/15 00:00:00,2019/02/15 00:00:00+00,"43",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Gère-Bélesten,modis/sentinel,24.3902439023795,0,0,0,75.6097560973766,0,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"18063",2019/09/17 00:00:00,2019/09/17 00:00:00+00,"34",FR,FRA,France,Nouvelle-Aquitaine,Limousin,Creuse,Courtine,modis/sentinel,0,0,0,0,99.9999999997143,0,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"18071",2019/02/27 00:00:00,2019/02/27 00:00:00+00,"23",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Hélette,modis/sentinel,0,0,0,0,99.9999999995652,0,0,0,0,100,"0",2022/03/02 11:51:40.501,EU,EU
,,"18072",2019/03/03 00:00:00,2019/03/03 00:00:00+00,"120",FR,FRA,France,Occitanie,Midi-Pyrénées,Ariège,Saurat,modis/sentinel,9.09090909090158,0,0,0,87.6033057850516,3.30578512396421,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"18075",2019/02/21 00:00:00,2019/02/21 00:00:00+00,"326",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Escot,modis/sentinel,0.91743119266027,0,0.305810397553423,0,97.553516819542,0,1.22324159021369,0,0,0.49980361464775,"0",2022/03/02 11:51:40.501,EU,EU
,,"18083",2019/02/27 00:00:00,2019/02/27 00:00:00+00,"26",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Aldudes,modis/sentinel,0,0,0,0,96.2962962959397,0,0,3.70370370368999,0,100,"0",2022/03/02 11:51:40.501,EU,EU
,,"18116",2019/02/17 00:00:00,2019/02/20 00:00:00+00,"929",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Saint-Étienne-de-Baïgorry,modis/sentinel,11.7583603020484,0,0,0,85.4368932038743,0,2.80474649406658,0,0,8.65347377472837,"0",2022/03/02 11:51:40.501,EU,EU
,,"18119",2019/02/20 00:00:00,2019/02/20 00:00:00+00,"28",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Barcus,modis/sentinel,74.9999999997322,0,0,0,24.9999999999107,0,0,0,0,3.9174337622288,"0",2022/03/02 11:51:40.501,EU,EU
